[Thu Jun 27 13:53:35 2024] >> 
[Thu Jun 27 13:53:35 2024] >> PROGRAM START
[Thu Jun 27 13:53:35 2024] >> TRAIN FLAG: True
[Thu Jun 27 13:53:35 2024] >> DATA SET: Cifar100
[Thu Jun 27 13:53:37 2024] >> ---MAIN TRAINING---
[Thu Jun 27 13:53:37 2024] >> network: darknetCifar100
[Thu Jun 27 13:53:57 2024] >> training [000]: 0.0256
[Thu Jun 27 13:53:59 2024] >> testing accuracy: 0.0335
[Thu Jun 27 13:54:19 2024] >> training [001]: 0.0487
[Thu Jun 27 13:54:21 2024] >> testing accuracy: 0.0434
[Thu Jun 27 13:54:40 2024] >> training [002]: 0.0706
[Thu Jun 27 13:54:42 2024] >> testing accuracy: 0.0824
[Thu Jun 27 13:55:01 2024] >> training [003]: 0.0916
[Thu Jun 27 13:55:03 2024] >> testing accuracy: 0.1015
[Thu Jun 27 13:55:23 2024] >> training [004]: 0.1147
[Thu Jun 27 13:55:25 2024] >> testing accuracy: 0.1185
[Thu Jun 27 13:55:46 2024] >> training [005]: 0.1307
[Thu Jun 27 13:55:48 2024] >> testing accuracy: 0.1329
[Thu Jun 27 13:56:08 2024] >> training [006]: 0.1470
[Thu Jun 27 13:56:10 2024] >> testing accuracy: 0.156
[Thu Jun 27 13:56:31 2024] >> training [007]: 0.1625
[Thu Jun 27 13:56:33 2024] >> testing accuracy: 0.1443
[Thu Jun 27 13:56:52 2024] >> training [008]: 0.1762
[Thu Jun 27 13:56:54 2024] >> testing accuracy: 0.1582
[Thu Jun 27 13:57:14 2024] >> training [009]: 0.1857
[Thu Jun 27 13:57:16 2024] >> testing accuracy: 0.1821
[Thu Jun 27 13:57:35 2024] >> training [010]: 0.1998
[Thu Jun 27 13:57:37 2024] >> testing accuracy: 0.1731
[Thu Jun 27 13:57:56 2024] >> training [011]: 0.2121
[Thu Jun 27 13:57:58 2024] >> testing accuracy: 0.1879
[Thu Jun 27 13:58:17 2024] >> training [012]: 0.2241
[Thu Jun 27 13:58:19 2024] >> testing accuracy: 0.2217
[Thu Jun 27 13:58:38 2024] >> training [013]: 0.2341
[Thu Jun 27 13:58:40 2024] >> testing accuracy: 0.2273
[Thu Jun 27 13:59:00 2024] >> training [014]: 0.2446
[Thu Jun 27 13:59:02 2024] >> testing accuracy: 0.2479
[Thu Jun 27 13:59:25 2024] >> training [015]: 0.2509
